validation_day,window_hours,horizon_lo,horizon_hi,bias_type,shrinkage,W,champion_W,delta_W
2025-09-05,48,1200,inf,median,1.0,0.5597881690984661,0.9221173930801292,-0.3623292239816631
2025-09-06,6,0,360.0,mean,0.25,0.9305008180349442,0.9282979014948576,0.0022029165400866413
2025-09-06,6,0,360.0,mean,0.5,0.9306123249847915,0.9282979014948576,0.0023144234899339367
2025-09-06,6,0,360.0,mean,0.75,0.9295690083128099,0.9282979014948576,0.0012711068179522833
2025-09-06,6,0,360.0,mean,1.0,0.9295978348624032,0.9282979014948576,0.001299933367545636
2025-09-06,6,0,360.0,median,0.25,0.9305008180349442,0.9282979014948576,0.0022029165400866413
2025-09-06,6,0,360.0,median,0.5,0.9306123249847915,0.9282979014948576,0.0023144234899339367
2025-09-06,6,0,360.0,median,0.75,0.9295690083128099,0.9282979014948576,0.0012711068179522833
2025-09-06,6,0,360.0,median,1.0,0.9295978348624032,0.9282979014948576,0.001299933367545636
2025-09-06,6,360,720.0,mean,0.25,0.9239769105754592,0.9282979014948576,-0.004320990919398415
2025-09-06,6,360,720.0,mean,0.5,0.9206393787210749,0.9282979014948576,-0.00765852277378265
2025-09-06,6,360,720.0,mean,0.75,0.9196671181349885,0.9282979014948576,-0.00863078335986911
2025-09-06,6,360,720.0,mean,1.0,0.9246372327413828,0.9282979014948576,-0.003660668753474816
2025-09-06,6,360,720.0,median,0.25,0.9239769105754592,0.9282979014948576,-0.004320990919398415
2025-09-06,6,360,720.0,median,0.5,0.9206393787210749,0.9282979014948576,-0.00765852277378265
2025-09-06,6,360,720.0,median,0.75,0.9196671181349885,0.9282979014948576,-0.00863078335986911
2025-09-06,6,360,720.0,median,1.0,0.9246372327413828,0.9282979014948576,-0.003660668753474816
2025-09-06,12,0,360.0,mean,0.25,0.931647475687157,0.9282979014948576,0.0033495741922994204
2025-09-06,12,0,360.0,mean,0.5,0.928061935383914,0.9282979014948576,-0.000235966110943564
2025-09-06,12,0,360.0,mean,0.75,0.9200489712517254,0.9282979014948576,-0.008248930243132224
2025-09-06,12,0,360.0,mean,1.0,0.9147269673108995,0.9282979014948576,-0.01357093418395805
2025-09-06,12,0,360.0,median,0.25,0.931647475687157,0.9282979014948576,0.0033495741922994204
2025-09-06,12,0,360.0,median,0.5,0.928061935383914,0.9282979014948576,-0.000235966110943564
2025-09-06,12,0,360.0,median,0.75,0.9200489712517254,0.9282979014948576,-0.008248930243132224
2025-09-06,12,0,360.0,median,1.0,0.9147269673108995,0.9282979014948576,-0.01357093418395805
2025-09-06,12,360,720.0,mean,0.25,0.9233273652586707,0.9282979014948576,-0.004970536236186929
2025-09-06,12,360,720.0,mean,0.5,0.9223567931153585,0.9282979014948576,-0.005941108379499127
2025-09-06,12,360,720.0,mean,0.75,0.923966920759529,0.9282979014948576,-0.00433098073532856
2025-09-06,12,360,720.0,mean,1.0,0.9252304414867445,0.9282979014948576,-0.0030674600081130876
2025-09-06,12,360,720.0,median,0.25,0.9247911435026961,0.9282979014948576,-0.003506757992161491
2025-09-06,12,360,720.0,median,0.5,0.9226741453596778,0.9282979014948576,-0.005623756135179736
2025-09-06,12,360,720.0,median,0.75,0.9265455159364727,0.9282979014948576,-0.0017523855583848613
2025-09-06,12,360,720.0,median,1.0,0.9287967232674088,0.9282979014948576,0.0004988217725512278
2025-09-06,12,720,1200.0,mean,0.25,0.9160641512228883,0.9282979014948576,-0.012233750271969268
2025-09-06,12,720,1200.0,mean,0.5,0.9176689589442595,0.9282979014948576,-0.010628942550598097
2025-09-06,12,720,1200.0,mean,0.75,0.921548244650835,0.9282979014948576,-0.006749656844022622
2025-09-06,12,720,1200.0,mean,1.0,0.9238299557171121,0.9282979014948576,-0.004467945777745452
2025-09-06,12,720,1200.0,median,0.25,0.9160641512228883,0.9282979014948576,-0.012233750271969268
2025-09-06,12,720,1200.0,median,0.5,0.9176689589442595,0.9282979014948576,-0.010628942550598097
2025-09-06,12,720,1200.0,median,0.75,0.921548244650835,0.9282979014948576,-0.006749656844022622
2025-09-06,12,720,1200.0,median,1.0,0.9238299557171121,0.9282979014948576,-0.004467945777745452
2025-09-06,24,0,360.0,mean,0.25,0.9238191061102252,0.9282979014948576,-0.004478795384632361
2025-09-06,24,0,360.0,mean,0.5,0.9201887760488711,0.9282979014948576,-0.00810912544598652
2025-09-06,24,0,360.0,mean,0.75,0.9191712322854431,0.9282979014948576,-0.009126669209414517
2025-09-06,24,0,360.0,mean,1.0,0.9177068431858231,0.9282979014948576,-0.010591058309034507
2025-09-06,24,0,360.0,median,0.25,0.9238191061102252,0.9282979014948576,-0.004478795384632361
2025-09-06,24,0,360.0,median,0.5,0.9201887760488711,0.9282979014948576,-0.00810912544598652
2025-09-06,24,0,360.0,median,0.75,0.9191712322854431,0.9282979014948576,-0.009126669209414517
2025-09-06,24,0,360.0,median,1.0,0.9177068431858231,0.9282979014948576,-0.010591058309034507
2025-09-06,24,360,720.0,mean,0.25,0.9252471318158874,0.9282979014948576,-0.003050769678970222
2025-09-06,24,360,720.0,mean,0.5,0.9261544499282226,0.9282979014948576,-0.0021434515666349796
2025-09-06,24,360,720.0,mean,0.75,0.9263460078011712,0.9282979014948576,-0.001951893693686424
2025-09-06,24,360,720.0,mean,1.0,0.9268897815868882,0.9282979014948576,-0.0014081199079694073
2025-09-06,24,360,720.0,median,0.25,0.9259825737367022,0.9282979014948576,-0.00231532775815535
2025-09-06,24,360,720.0,median,0.5,0.9258840466096412,0.9282979014948576,-0.0024138548852163932
2025-09-06,24,360,720.0,median,0.75,0.924855427014529,0.9282979014948576,-0.003442474480328528
2025-09-06,24,360,720.0,median,1.0,0.9275534812391371,0.9282979014948576,-0.0007444202557205237
2025-09-06,24,720,1200.0,mean,0.25,0.9162649214679974,0.9282979014948576,-0.012032980026860152
2025-09-06,24,720,1200.0,mean,0.5,0.922067755822238,0.9282979014948576,-0.006230145672619591
2025-09-06,24,720,1200.0,mean,0.75,0.9234548710933956,0.9282979014948576,-0.004843030401461945
2025-09-06,24,720,1200.0,mean,1.0,0.9161956064663429,0.9282979014948576,-0.012102295028514676
2025-09-06,24,720,1200.0,median,0.25,0.9161450185176692,0.9282979014948576,-0.012152882977188417
2025-09-06,24,720,1200.0,median,0.5,0.9223279230834889,0.9282979014948576,-0.005969978411368704
2025-09-06,24,720,1200.0,median,0.75,0.9220999861952028,0.9282979014948576,-0.006197915299654744
